"Date","Open","High","Low","Close Close price adjusted for splits.","Adj Close Adjusted close price adjusted for splits and dividend and/or capital gain distributions.","Volume"
"Nov 1, 2024","1,103.80","1,103.80","923.40","990.20","990.20","6,106"
"Oct 1, 2024","993.60","1,227.00","993.60","1,106.50","1,106.50","113"
"Aug 1, 2024","891.80","989.00","822.80","961.10","961.10","4,029"
"Jul 1, 2024","979.00","1,040.50","873.50","922.60","922.60","75"
"Jun 1, 2024","913.00","981.50","876.50","977.90","977.90","82"
"May 1, 2024","947.70","1,030.70","899.20","899.20","899.20","4,500"
"Apr 1, 2024","992.00","1,074.10","951.90","951.90","951.90","3"
"Mar 1, 2024","941.00","1,083.50","938.60","1,009.50","1,009.50","51"
"Feb 1, 2024","967.70","985.20","856.00","933.50","933.50","2,682"
"Jan 1, 2024","1,079.10","1,079.10","913.20","992.90","992.90","67"
"Dec 1, 2023","1,000.00","1,229.80","930.20","1,104.00","1,104.00","53"
"Nov 1, 2023","1,110.30","1,124.40","974.90","1,009.10","1,009.10","2,742"
"Sep 1, 2023","1,217.20","1,277.90","1,183.20","1,255.20","1,255.20","28"
"Aug 1, 2023","1,226.20","1,298.20","1,201.50","1,207.80","1,207.80","3,314"
"Jul 1, 2023","1,218.40","1,311.60","1,218.40","1,264.70","1,264.70","88"
"Jun 1, 2023","1,356.00","1,403.50","1,213.40","1,213.40","1,213.40","116"
"May 1, 2023","1,454.80","1,613.10","1,340.00","1,340.90","1,340.90","4,113"
"Apr 1, 2023","1,456.00","1,639.60","1,404.30","1,517.90","1,517.90","3"
"Mar 1, 2023","1,421.70","1,503.50","1,339.00","1,466.00","1,466.00","43"
"Feb 1, 2023","1,628.80","1,638.80","1,370.50","1,404.40","1,404.40","3,916"
"Dec 1, 2022","1,873.00","1,946.40","1,642.50","1,789.30","1,789.30","48"
"Nov 1, 2022","1,874.40","2,078.70","1,795.50","1,845.00","1,845.00","1,680"
"Oct 1, 2022","2,223.20","2,321.20","1,829.10","1,829.10","1,829.10","18"
"Sep 1, 2022","2,074.00","2,259.20","1,956.40","2,173.20","2,173.20","77"
"Aug 1, 2022","2,198.60","2,285.80","1,971.40","2,066.60","2,066.60","1,302"
"Jul 1, 2022","1,930.80","2,166.20","1,824.00","2,128.90","2,128.90","6"
"Jun 1, 2022","1,998.50","2,045.00","1,769.20","1,908.70","1,908.70","69"
"Apr 1, 2022","2,267.40","2,500.00","2,116.40","2,302.80","2,302.80","11"
"Mar 1, 2022","2,491.50","3,380.50","2,101.00","2,255.50","2,255.50","279"
"Feb 1, 2022","2,343.20","2,536.50","2,190.10","2,500.50","2,500.50","5,911"
"Jan 1, 2022","1,822.00","2,368.70","1,822.00","2,349.20","2,349.20","52"
"Dec 1, 2021","1,738.00","1,998.40","1,549.40","1,908.10","1,908.10","35"
"Nov 1, 2021","2,058.10","2,181.40","1,703.10","1,703.10","1,703.10","3,904"
"Oct 1, 2021","1,906.50","2,153.70","1,870.60","1,986.10","1,986.10","-"
"Sep 1, 2021","2,466.00","2,485.50","1,833.10","1,902.60","1,902.60","130"
"Jul 1, 2021","2,767.10","2,857.50","2,590.90","2,655.80","2,655.80","-"
"Jun 1, 2021","2,830.00","2,862.00","2,461.00","2,777.40","2,777.40","61"
"May 1, 2021","2,985.40","2,985.40","2,730.10","2,824.20","2,824.20","2,739"
"Apr 1, 2021","2,653.40","2,957.70","2,618.70","2,957.70","2,957.70","-"
"Mar 1, 2021","2,310.00","2,670.40","2,288.80","2,617.50","2,617.50","30"
"Feb 1, 2021","2,240.40","2,480.00","2,226.40","2,310.10","2,310.10","2,008"
"Jan 1, 2021","2,385.90","2,488.10","2,207.10","2,207.10","2,207.10","32"
