"Date","Open","High","Low","Close Close price adjusted for splits.","Adj Close Adjusted close price adjusted for splits and dividend and/or capital gain distributions.","Volume"
"Nov 1, 2024","995.10","1,000.40","923.30","949.50","949.50","141"
"Oct 1, 2024","977.60","1,053.80","948.00","991.60","991.60","408"
"Aug 1, 2024","965.40","980.20","911.00","927.80","927.80","340"
"Jul 1, 2024","983.20","1,039.20","934.10","982.20","982.20","425"
"Jun 1, 2024","1,018.50","1,020.70","951.30","1,001.90","1,001.90","11,271"
"May 1, 2024","950.40","1,084.60","949.00","1,037.70","1,037.70","125"
"Apr 1, 2024","909.00","990.50","894.50","941.20","941.20","551"
"Mar 1, 2024","884.20","942.30","883.30","907.70","907.70","15,208"
"Feb 1, 2024","914.00","914.00","871.40","879.90","879.90","140"
"Jan 1, 2024","990.00","998.30","878.80","924.40","924.40","363"
"Dec 1, 2023","932.00","1,016.00","889.70","995.00","995.00","7,813"
"Nov 1, 2023","922.60","944.10","838.60","931.20","931.20","95"
"Sep 1, 2023","965.60","965.60","884.70","906.80","906.80","13,210"
"Aug 1, 2023","931.40","982.20","885.30","971.30","971.30","118"
"Jul 1, 2023","900.00","985.20","897.80","949.70","949.70","343"
"Jun 1, 2023","1,018.20","1,046.80","884.00","904.50","904.50","11,344"
"May 1, 2023","1,062.80","1,122.20","1,007.10","1,007.10","1,007.10","225"
"Apr 1, 2023","985.00","1,129.80","985.00","1,088.20","1,088.20","61"
"Mar 1, 2023","961.50","1,002.50","933.40","994.10","994.10","4,825"
"Feb 1, 2023","992.60","1,023.50","902.00","955.20","955.20","5"
"Dec 1, 2022","1,067.90","1,077.50","997.60","1,073.70","1,073.70","7,569"
"Nov 1, 2022","959.80","1,064.30","933.40","1,052.30","1,052.30","18"
"Oct 1, 2022","895.00","987.40","890.00","939.40","939.40","295"
"Sep 1, 2022","804.00","922.00","804.00","870.00","870.00","9,648"
"Aug 1, 2022","896.70","958.30","826.40","826.40","826.40","7"
"Jul 1, 2022","880.00","894.00","830.60","884.90","884.90","351"
"Jun 1, 2022","997.20","1,030.80","888.10","898.40","898.40","8,348"
"Apr 1, 2022","992.80","1,016.20","899.40","937.60","937.60","1,339"
"Mar 1, 2022","1,051.10","1,154.00","972.30","992.50","992.50","10,615"
